service	class	binary	user	flags	defined_in
abc	main	/vendor/bin/abc	-	disabled,oneshot	extract_init.rk30board.rc
adbd	core	/sbin/adbd	-	disabled	init.rc
akmd	main	/vendor/bin/akmd	system	oneshot	extract_init.rockchip.rc
audioserver	core	/system/bin/audioserver	audioserver	-	sys_audioserver.rc
blank_screen	-	/system/bin/blank_screen	system	oneshot	sys_blank_screen.rc
bootanim	core animation	/system/bin/bootanimation	graphics	disabled,oneshot	sys_bootanim.rc
boottrace	-	/system/bin/atrace	-	disabled,oneshot	sys_atrace.rc
bplus_helper	main	/system/bin/bplus_helper	-	oneshot	extract_init.rk30board.rc
bugreport	late_start	/system/bin/dumpstate	-	disabled,oneshot	extract_init.rockchip.rc
cameraserver	main	/system/bin/cameraserver	cameraserver	-	sys_cameraserver.rc
charger	charger	/charger	-	-	extract_init.rockchip.rc
clear-bcb	main	/system/bin/uncrypt	-	disabled,oneshot	sys_uncrypt.rc
console	core	/sbin/sh	-	disabled	init.rc
dhcpcd_bt-pan	main	/system/bin/dhcpcd	-	disabled,oneshot	extract_init.rockchip.rc
dhcpcd_eth0	late_start	/system/bin/dhcpcd	-	disabled,oneshot	extract_init.rockchip.rc
dhcpcd_p2p	main	/system/bin/dhcpcd	-	disabled,oneshot	extract_init.rockchip.rc
dhcpcd_wlan0	main	/system/bin/dhcpcd	-	disabled,oneshot	extract_init.rockchip.rc
displayd	core	/system/bin/displayd	-	-	extract_init.rk30board.rc
drm	main	/system/bin/drmserver	drm	-	sys_drmserver.rc
dumpstate	main	/system/bin/dumpstate	-	disabled,oneshot	sys_dumpstate.rc
dumpstatez	main	/system/bin/dumpstate	-	disabled,oneshot	sys_dumpstate.rc
flash_recovery	main	/system/bin/install-recovery.sh	-	oneshot	init.rc
gatekeeperd	late_start	/system/bin/gatekeeperd	system	-	sys_gatekeeperd.rc
getbootmode	-	/system/bin/getbootmode.sh	-	disabled,oneshot	extract_init.rockchip.rc
gpsd	main	/system/bin/glgps	gps	disabled	extract_init.rockchip.rc
health-hal-2-0	hal	/vendor/bin/hw/android.hardware.health@2.0-service	system	-	ven_android.hardware.health@2.0-service.rc
healthd	hal	/system/bin/healthd	-	-	sys_healthd.rc
hidl_memory	hal	/system/bin/hw/android.hidl.allocator@1.0-service	system	-	sys_android.hidl.allocator@1.0-service.rc
hostapd	main	/vendor/bin/hw/hostapd	wifi	disabled,oneshot	ven_hostapd.android.rc
hwservicemanager	animation	/system/bin/hwservicemanager	system	disabled	sys_hwservicemanager.rc
incidentd	main	/system/bin/incidentd	incidentd	-	sys_incidentd.rc
installd	main	/system/bin/installd	-	-	sys_installd.rc
iprenew_bt-pan	main	/system/bin/dhcpcd	-	disabled,oneshot	extract_init.rockchip.rc
iprenew_eth0	late_start	/system/bin/dhcpcd	-	disabled,oneshot	extract_init.rockchip.rc
iprenew_p2p	main	/system/bin/dhcpcd	-	disabled,oneshot	extract_init.rockchip.rc
iprenew_wlan0	main	/system/bin/dhcpcd	-	disabled,oneshot	extract_init.rockchip.rc
keystore	main	/system/bin/keystore	keystore	-	sys_keystore.rc
